Name,Address,City,Province,Postal Code,Phone,Discipline,Centre Type,Association,URL,Language,Email,Established,Longitude,Latitude
"3E IMPÉRIAL, Centre D'ESSAI EN ART ACTUEL","164 rue Cowie, local 310","Granby","Québec","J2G 3V3","450-372-7261","Film/Video, Interdisciplinary, Media and Digital Arts, Performance and Live Arts, Sound Art and Music, Visual Arts","Artists' Residencies, No Fixed Location, Exhibition Centre, Information Centre, Production Centre, Publisher","Regroupement des Centres d'Artistes Autogérés du Québec (RCAAQ)","https://3e-imperial.org/","FR","info@3e-imperial.org","","-72.7271379","45.3969919"
"Access Gallery","222 East Georgia Street","Vancouver","British Columbia","V6A 1Z7","604-689-2907","Film/Video, Interdisciplinary, Media and Digital Arts, Performance and Live Arts, Publications and Publishing","Artists' Residencies, Exhibition Centre, Publisher","Pacific Association of Artist-Run Centres (PAARC)","https://www.accessgallery.ca/","EN","info@accessgallery.ca","","-123.0988642","49.2784361"
"Aceartinc","206 Princess Street","Winnipeg","Manitoba","R3G 1L4","1(204) 944-9763","Interdisciplinary, Media and Digital Arts, Performance and Live Arts, Publications and Publishing, Visual Arts","Artists' Residencies, Exhibition Centre, Publisher","Manitoba Artist-Run Centres Coalition (MARCC)","https://aceart.org/","EN","admin@aceart.org","","-97.140358","49.9015497"
"ADA X","4001 rue Berri, #201","Montréal","Québec","H2L 4H2","514-845-7934","Media and Digital Arts, Publications and Publishing","Artists' Residencies, Exhibition Centre, Production Centre, Publisher","Independent Media Arts Alliance (IMAA), Regroupement des Centres d'Artistes Autogérés du Québec (RCAAQ)","https://www.ada-x.org/","EN/FR","info@ada-x.org","","-73.5741612","45.5216022"
"Agence Topo","5445 avenue De Gaspé, espace 608","Montréal","Québec","H2T 3B2","514-279-8676","Interdisciplinary, Media and Digital Arts, Performance and Live Arts","Artists' Residencies, Exhibition Centre, Production Centre","Independent Media Arts Alliance (IMAA), Regroupement des Centres d'Artistes Autogérés du Québec (RCAAQ)","https://topo.art/","FR","bonjour@topo.art","","-73.5958995","45.527071"
"AKA Artist-Run Centre","424 20th Street West","Saskatoon","Saskatchewan","S7M 0X4","306-652-0044","Media and Digital Arts, Performance and Live Arts, Publications and Publishing, Visual Arts","Artists' Residencies, Exhibition Centre, Publisher","Plains Artist-Run Centres Association (PARCA)","https://www.akaartistrun.com/","EN","info@akaartistrun.com","","-106.6759421","52.1264275"
"Arnica Artist Run Centre","7 Seymour Street West","Kamloops","British Columbia","V2C 1E4","-","Crafts, Film/Video, Media and Digital Arts, Performance and Live Arts, Printmaking, Publications and Publishing, Visual Arts","Exhibition Centre","Pacific Association of Artist-Run Centres (PAARC)","-","-","arnicaarc@gmail.com","","-120.3393963","50.6750825"
"Arprim, Centre D'essai en Art Imprimé","372 rue Sainte-Catherine Ouest, espace 426","Montréal","Québec","H3B 1A2","514-525-2621","Printmaking, Publications and Publishing","Exhibition Centre","Regroupement des Centres d'Artistes Autogérés du Québec (RCAAQ)","https://www.arprim.org/","FR","info@arprim.org","","-73.567163","45.5055686"
"Art City Inc","616 Broadway","Winnipeg","Manitoba","R3C 0W8","204-775-9856","Crafts, Film/Video, Interdisciplinary, Media and Digital Arts, Performance and Live Arts, Printmaking, Sound Art and Music, Visual Arts","Artists' Residencies, Production Centre","Manitoba Artist-Run Centres Coalition (MARCC)","https://artcityinc.com/","EN","eddie@artcityinc.com","","-97.1552432","49.885445"
"Art Gallery of Regina (AGR)","2420 Elphinstone Street","Regina","Saskatchewan","S4T 7S7","306-522-5940","Visual Arts","Exhibition Centre","Plains Artist-Run Centres Association (PARCA)","https://www.artgalleryofregina.ca/","EN","info@artgalleryofregina.ca","","-104.6330074","50.4404994"
