#,name,address,city,province,postal_code,phone
1,221A Artist-Run Society,700-825 Pacific St.,Vancouver,British Columbia,V6Z 1C3,604-568-0812
2,"3E IMPÉRIAL, Centre D'ESSAI EN ART ACTUEL","164 rue Cowie, local 310",Granby,Québec,J2G 3V3,450-372-7261
3,Acess Gallery,222 East Georgia Street,Vancouver,British Columbia,V6A 1Z7,604-689-2907
4,Aceartinc,206 Princess Street,Winnipeg,Manitoba,R3G 1L4,1(204) 944-9763
5,ADA X,"4001 rue Berri, #201",Montréal,Québec,H2L 4H2,514-845-7934
6,Admare Centre D'Artistes En Art Actuel des Îles-De-La-Madelaine,1349-1 chemin de Lavernière,L'Étang-du-Nord,Québec,G4T 3G1,418-986-3083
7,Agence Topo,"5445 avenue De Gaspé, espace 608",Montréal,Québec,H2T 3B2,514-279-8676
8,AKA Artist-Run Centre,424 20th Street West,Saskatoon,Saskatchewan,S7M 0X4,306-652-0044
9,Alberta Printmakers,4025 4th Street Southeast,Calgary,Alberta,T2G 2W4,403-287-1056
10,Arnica Artist Run Centre,7 Seymour Street West,Kamloops,British Columbia,V2C 1E4,-
11,"Arprim, Centre D'essai en Art Imprimé","372 rue Sainte-Catherine Ouest, espace 426",Montréal,Québec,H3B 1A2,514-525-2621
12,Art City Inc,616 Broadway,Winnipeg,Manitoba,R3C 0W8,204-775-9856
13,Art Gallery of Regina (AGR),2420 Elphinstone Street,Regina,Saskatchewan,S4T 7S7,306-522-5940
14,Art Metropole,896 College St,Toronto,Ontaria,M6H 1A4,416-703-4400
15,Artcite Inc,109 University Avenue West,Windsor,Ontaria,N9A 5P4,519-977-6564
16,Artexte,"2 rue Sainte-Catherine Est, local 301",Montréal,Québec,H2X 1K4,514-874-0049
17,Articule,6282 Saint-Hubert,Montréal,Québec,H2S 2M2,514-842-9686
18,Arts Accessability Network Manitoba (AANM),"329 Cumberland Avenue, Unit 102",Winnipeg,Manitoba,R3B 1T2,204-336-2366
19,Artspace,3-378 Aylmer Street North,Peterborough,Ontaria,K9J 7X6,705-748-3883
20,Artspeak,233 Carrall Street,Vancouver,British Columbia,V6B 2J2,604-688-0051
21,Artsplace Artist-Run Centre,396 St. George Street,Annapolis Royal,Nova Scotia,B0S 1A0,902-532-7069
22,Atelier Circulaire,"5445 avenue De Gaspé, espace 105",Montréal,Québec,H2T 3B2,514-272-8874
23,Atelier de l'Île,1289 rue Jean-Baptiste-Dufresne,Val-David,Québec,J0T 2N0,819-322-6359
